Date,Start,End,Description,Location,Alarms,Type
11/6/2025,6:00 PM,7:30 PM,HHS Girls Soccer vs Denham Springs (Scrimmage),"1000 N Range Ave, Denham Springs, LA 70726",,Game
11/12/2025,6:00 PM,7:30 PM,HHS Girls Soccer vs Central Lafourche (Scrimmage),HHS,,Game
11/17/2025,5:00 PM,6:30 PM,HHS Girls Soccer vs Ben Franklin (Double Header – Women's/Men's Soccer),HHS,,Game
11/19/2025,6:00 PM,7:30 PM,HHS Girls Soccer vs Fisher,HHS,,Game
11/20/2025,12:00 AM,1:30 AM,HHS Girls Soccer vs Central Invitational Tournament (Tournament),"4820 LA-1, Raceland, LA 70394",,Game
12/3/2025,,,HHS Girls Soccer vs ED White Cardinal Classic Tournament (Tournament),"726 N Acadia Rd suite 1000, Thibodaux, LA 70301",,Game
12/4/2025,,,HHS Girls Soccer vs ED White Cardinal Classic Tournament (Tournament),"726 N Acadia Rd suite 1000, Thibodaux, LA 70301",,Game
12/5/2025,,,HHS Girls Soccer vs ED White Cardinal Classic Tournament (Tournament),"726 N Acadia Rd suite 1000, Thibodaux, LA 70301",,Game
12/9/2025,6:30 PM,8:00 PM,HHS Girls Soccer vs Parkview Baptist,"5750 Parkview Church Rd, Baton Rouge, LA 70816",,Game
12/11/2025,5:30 PM,7:00 PM,HHS Girls Soccer vs Mandeville,"1 Skipper Dr, Mandeville, LA 70471",,Game
12/13/2025,4:00 PM,5:30 PM,HHS Girls Soccer vs Dominican,HHS,,Game
12/17/2025,5:30 PM,7:00 PM,HHS Girls Soccer vs Mount Carmel,HHS,,Game
1/2/2026,,,HHS Girls Soccer vs Elite Invitational College Showcase (Lafayette),"198 Laser Ln, Lafayette, LA 70507",,Game
1/3/2026,,,HHS Girls Soccer vs Elite Invitational College Showcase (Lafayette),"198 Laser Ln, Lafayette, LA 70507",,Game
1/13/2026,5:30 PM,7:00 PM,HHS Girls Soccer vs Thibodaux (District),"1355 Tiger Dr, Thibodaux, LA 70301",,Game
1/16/2026,5:30 PM,7:00 PM,HHS Girls Soccer vs Terrebonne (District),HHS,,Game
1/20/2026,5:30 PM,7:00 PM,HHS Girls Soccer vs HL Bourgeois (District),HHS,,Game
1/23/2026,6:00 PM,7:30 PM,HHS Girls Soccer vs Destrehan (District),HHS,,Game
1/24/2026,5:00 PM,6:30 PM,HHS Girls Soccer vs Zachary,HHS,,Game
1/27/2026,5:30 PM,7:00 PM,HHS Girls Soccer vs Willow School,"5624 Freret St, New Orleans, LA 70115",,Game
1/28/2026,5:30 PM,7:00 PM,HHS Girls Soccer vs Belle Chasse,HHS,,Game
